des,x,y,type
Groundout,109.25,148.35,O
Groundout,104.82,162.09,O
Single,172.96,116.31,H
Lineout,121.14,61.38,O
Lineout,103.88,168.7,O
Bunt Groundout,142.46,177.35,O
Single,71.4,110.21,H
Groundout,108.96,155.98,O
Groundout,109.06,147.85,O
Single,82.7,109.7,H
Single,108.51,143.78,H
Flyout,127.18,95.46,O
Single,164.97,85.79,H
Single,81.72,124.45,H
Flyout,142.13,75.62,O
Single,116.74,95.46,H
Groundout,144.66,165.14,O
Groundout,101.52,166.67,O
Groundout,110.15,152.93,O
Groundout,113.7,148.86,O
Double,84.26,89.35,H
Flyout,175.63,81.72,O
Groundout,108.62,160.05,O
Groundout,102.02,165.14,O
Single,112.18,93.42,H
Flyout,108.62,76.64,O
Groundout,102.02,170.23,O
Groundout,104.05,152.93,O
Flyout,116.24,48.66,O
Lineout,138.57,146.32,O
Single,83.24,121.4,H
Groundout,98.47,164.63,O
Single,136.03,94.95,H
Double,73.09,54.76,H
Single,54.81,107.66,H
Pop Out,124.87,113.77,O
Flyout,166.49,123.94,O
Groundout,106.08,172.77,O
Groundout,103.55,165.14,O
Flyout,175.16,123.31,O
Single,90.32,123.31,H
Flyout,178.19,65.73,O
Single,186.67,123.91,H
Flyout,198.19,88.16,O
Single,149.71,119.06,H
Groundout,110.31,152.4,O
Groundout,105.47,149.97,O
Lineout,169.7,80.28,O
Single,188.36,120.28,H
